dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
12,50000,[20|20|20|20|20],effn_w5_d320,777,val,1.9640879648758263,0.1672596359197268
12,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.0288068020147905,0.170015580200968
12,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.7612759042722144,0.15891274905487424
9,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.6578100918070854,0.0971442337615235
9,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.6771029028452143,0.09955793136586089
9,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.28705194344197693,0.06719529279816835
15,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.9407836643139821,0.10037076754548231
15,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.9349375151710707,0.10060819176918201
15,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.1899933967661476,0.048309309540654995
20,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.4777229633087712,0.11855543294439519
20,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.4732016266844665,0.11846504409794802
20,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.30556458864788655,0.05780824542216145
13,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.8102332468650231,0.09726571603204505
13,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.8585092511029825,0.0992764678093526
13,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.15412352050759168,0.044846702328360966
12,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.0410395856318944,0.1141504739615129
12,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.0683529670966847,0.11544193811033487
12,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.4937663950080834,0.08188454653047261
1,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.0006875520959472453,0.020803095950933867
1,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.0007462249058826212,0.0254500141158628
1,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.000741766680821675,0.02281445099097363
11,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.1518910593746572,0.12674342407159872
11,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.160404726074364,0.126737779576484
11,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.8153848539396806,0.10744175468650247
7,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.7006779410364172,0.11092675205693574
7,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.6791922651324134,0.109658062279306
7,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.5081685597038516,0.09725802217437539
16,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.9980227850242903,0.1016432660422965
16,50000,[320|320|320|320|320],effn_w5_d320,777,test,1.0082184793448445,0.10203858574901783
16,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.13475271548546633,0.040301608471050465
1,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.00041145216708380613,0.013539170736121008
