dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
5,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.06300725120878946,0.0260935320715104
5,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.05896118498269873,0.025548428597861585
5,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.008265200171142942,0.0141245602115549
15,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.8052213501917906,0.09417354785619161
15,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.7971517598795747,0.09350559960230165
15,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.07696520154444665,0.030692259825164717
17,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.9173131098273115,0.09679034799037788
17,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.899987995390347,0.09592978101447243
17,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.05036898928156172,0.024310134058487035
7,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.16295675454393596,0.04139707172318401
7,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.16342198358187698,0.04140733626901322
7,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.011417278048099722,0.015935390729643964
11,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.649093785662011,0.09176250309837794
11,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.6421949883706037,0.0912203590827447
11,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.1232759968125495,0.04194483238341934
13,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.7300938810862858,0.0929532758933879
13,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.7199698561579393,0.0921761009690068
13,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.09331577381255686,0.035111715322436635
12,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.7200561302914915,0.09519057374573654
12,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.6785312066716954,0.09269518842922012
12,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.07577496397894337,0.03305160340964541
2,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.004757877473886145,0.011210864346948984
2,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.005017030393159504,0.010854733485605058
2,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.0030395146896733858,0.010346201031115753
14,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.764386066102046,0.09352032114510574
14,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.7721515859154479,0.09316302458554786
14,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.08392648225507472,0.03289792975085617
6,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.09904806847234589,0.03213506710334074
6,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.1109203631267139,0.03323130525142255
6,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.009965915487691516,0.01495931485252033
16,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.8192152718683435,0.0927013641591888
16,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.848119817670893,0.09378542166592908
16,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.07393344811894988,0.02940531073321453
18,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.8894072923947383,0.09347889011537516
18,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.9019245320929101,0.0937289943334936
18,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.06862670785222093,0.027332206242032545
4,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.026060021242489063,0.018234543970933798
4,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.025450022266511253,0.018399074171198855
4,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.005628469150988192,0.012243989956710681
1,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.00016851074172073903,0.00765762854549898
1,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.00013810008281333109,0.008284433377189539
1,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.00013146417439673162,0.008023249603729318
3,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.011194029238351805,0.01348382877178379
3,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.01031998219783778,0.013229059999239649
3,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.0035741294475903837,0.010301430357798609
9,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.36798504579027724,0.06488327318392417
9,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.3689918627393974,0.0652214817409066
9,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.028023250323344868,0.02259342402773084
8,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.2454367635383422,0.050492766913965086
8,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.2524115238053205,0.05097600643316883
8,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.013152958187930181,0.016569153638377996
19,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.9134418975419798,0.09318163179390661
19,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.9302356188122216,0.09417637742873451
19,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.08834333027517649,0.030579183230431187
10,100000,[640|640|640|640|640],effn_w5_d320,777,val,0.5819270591690321,0.08884315585596415
10,100000,[640|640|640|640|640],effn_w5_d320,777,test,0.575631078026425,0.08855376562264469
10,100000,[640|640|640|640|640],effn_w5_d320,777,train,0.14549845879291462,0.04646285186194821
