dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
5,[80|80|80],effn_w5_d320,777,val,0.3929012038815917,0.08935241605110762
5,[80|80|80],effn_w5_d320,777,test,0.38748861980186206,0.0888418475031665
5,[80|80|80],effn_w5_d320,777,train,0.3278893405250242,0.08285788570451846
2,[40|40|40],effn_w5_d320,777,val,0.03456100728649858,0.04490590807516422
2,[40|40|40],effn_w5_d320,777,test,0.036683424075997825,0.03970358936498592
2,[40|40|40],effn_w5_d320,777,train,0.03197904979108016,0.05703571251314679
13,[40|40|40|40|40],effn_w5_d320,777,val,1.2677462287844188,0.1266055406603125
13,[40|40|40|40|40],effn_w5_d320,777,test,1.2621976262854917,0.125738616558801
13,[40|40|40|40|40],effn_w5_d320,777,train,0.9563425523420542,0.11104988648940974
4,[40|40|40],effn_w5_d320,777,val,0.3291810981306066,0.08897528142069731
4,[40|40|40],effn_w5_d320,777,test,0.32869590058373505,0.0897199980351715
4,[40|40|40],effn_w5_d320,777,train,0.3080295431380952,0.08629908752350811
7,[40|40|40],effn_w5_d320,777,val,0.6511700263394858,0.10827816632811806
7,[40|40|40],effn_w5_d320,777,test,0.6572822865275517,0.10834842312788426
7,[40|40|40],effn_w5_d320,777,train,0.55927887233143,0.10120191791837864
4,[80|80|80|80],effn_w5_d320,777,val,0.11985089766401243,0.04727074279094763
4,[80|80|80|80],effn_w5_d320,777,test,0.12115520943955203,0.0482344341297779
4,[80|80|80|80],effn_w5_d320,777,train,0.0919364697196796,0.0434673675009019
10,[40|40|40],effn_w5_d320,777,val,1.0186574890174735,0.12318788011249665
10,[40|40|40],effn_w5_d320,777,test,0.9836082079884598,0.12162536634345839
10,[40|40|40],effn_w5_d320,777,train,0.8278077667669347,0.11116620416108904
4,[80|80|80],effn_w5_d320,777,val,0.12619160907517624,0.049915807787320965
4,[80|80|80],effn_w5_d320,777,test,0.12364628674692958,0.04979536900898313
4,[80|80|80],effn_w5_d320,777,train,0.10768112116377529,0.047291218581405725
9,[80|80|80|80],effn_w5_d320,777,val,0.6778100470218392,0.09926231690504776
9,[80|80|80|80],effn_w5_d320,777,test,0.6606293568958359,0.09839627748157052
9,[80|80|80|80],effn_w5_d320,777,train,0.4369491121516556,0.08232601287109508
4,[40|40|40|40],effn_w5_d320,777,val,0.33356689142690227,0.08834837460405301
4,[40|40|40|40],effn_w5_d320,777,test,0.3291630423469712,0.0890715194966568
4,[40|40|40|40],effn_w5_d320,777,train,0.3073986705047889,0.0855839426699488
4,[80|80|80|80|80],effn_w5_d320,777,val,0.12117309106310509,0.04455499014690421
4,[80|80|80|80|80],effn_w5_d320,777,test,0.11932077278621682,0.04480146733200897
4,[80|80|80|80|80],effn_w5_d320,777,train,0.08883222532297759,0.04063110817193502
9,[80|80|80],effn_w5_d320,777,val,0.7551849705724394,0.1061070000179567
9,[80|80|80],effn_w5_d320,777,test,0.7509781058862247,0.10597310511167005
9,[80|80|80],effn_w5_d320,777,train,0.5565267540165939,0.09295541404427674
7,[80|80|80|80],effn_w5_d320,777,val,0.5337325330672844,0.09501968068997732
7,[80|80|80|80],effn_w5_d320,777,test,0.5313387048965236,0.09410628265644559
7,[80|80|80|80],effn_w5_d320,777,train,0.3795501590620546,0.08203116967076515
11,[40|40|40|40],effn_w5_d320,777,val,0.9925462240659032,0.11505828048199834
11,[40|40|40|40],effn_w5_d320,777,test,0.9681570167791571,0.11376134864693795
11,[40|40|40|40],effn_w5_d320,777,train,0.7564277410561852,0.10181138172839196
12,[80|80|80],effn_w5_d320,777,val,0.9803679178332135,0.11191368474787068
12,[80|80|80],effn_w5_d320,777,test,0.9847067362404935,0.1122209355391318
12,[80|80|80],effn_w5_d320,777,train,0.6797979409115954,0.09454242414601265
3,[80|80|80|80|80],effn_w5_d320,777,val,0.08402857668018726,0.03897700368391302
3,[80|80|80|80|80],effn_w5_d320,777,test,0.0788745763027032,0.03868791700831983
3,[80|80|80|80|80],effn_w5_d320,777,train,0.06030597398156168,0.035193059772557274
12,[40|40|40|40|40],effn_w5_d320,777,val,1.1150129629195324,0.12052286270504425
12,[40|40|40|40|40],effn_w5_d320,777,test,1.0827661287609769,0.11797894982625301
12,[40|40|40|40|40],effn_w5_d320,777,train,0.8469088857682314,0.10612885141789088
6,[40|40|40],effn_w5_d320,777,val,0.5542449306553787,0.10626649107161051
6,[40|40|40],effn_w5_d320,777,test,0.5929602863061033,0.1087168417483773
6,[40|40|40],effn_w5_d320,777,train,0.5064482374282212,0.10158405909372602
8,[40|40|40|40|40],effn_w5_d320,777,val,0.7017269932905738,0.10558813149493969
8,[40|40|40|40|40],effn_w5_d320,777,test,0.7194064427676385,0.1064300463781535
8,[40|40|40|40|40],effn_w5_d320,777,train,0.5498304927327197,0.09497285918385132
7,[40|40|40|40],effn_w5_d320,777,val,0.6068808631172413,0.10257326942545426
7,[40|40|40|40],effn_w5_d320,777,test,0.6052281323895548,0.10254075054044631
7,[40|40|40|40],effn_w5_d320,777,train,0.4994572084521163,0.0946449740938729
8,[40|40|40],effn_w5_d320,777,val,0.8073381015895303,0.11621777903566272
8,[40|40|40],effn_w5_d320,777,test,0.8250295663730379,0.1171384947802504
8,[40|40|40],effn_w5_d320,777,train,0.687293983718336,0.10737145004657564
2,[80|80|80|80],effn_w5_d320,777,val,0.014645756482857457,0.02338660143599091
2,[80|80|80|80],effn_w5_d320,777,test,0.015842909165850842,0.0229313978577072
2,[80|80|80|80],effn_w5_d320,777,train,0.012664424193363357,0.022657644671553418
5,[40|40|40],effn_w5_d320,777,val,0.4827294272941407,0.10248845685403792
5,[40|40|40],effn_w5_d320,777,test,0.4777934065037357,0.10155057699733129
5,[40|40|40],effn_w5_d320,777,train,0.4296119896641746,0.09694575593333839
7,[40|40|40|40|40],effn_w5_d320,777,val,0.601100944787411,0.10279357266652546
7,[40|40|40|40|40],effn_w5_d320,777,test,0.6089600366943224,0.1032953461956777
7,[40|40|40|40|40],effn_w5_d320,777,train,0.48775018496518835,0.09474487041046045
3,[40|40|40],effn_w5_d320,777,val,0.1779393143862189,0.07062356952476345
3,[40|40|40],effn_w5_d320,777,test,0.17406502972042623,0.0698932519481397
3,[40|40|40],effn_w5_d320,777,train,0.16177677603029803,0.06836350845742686
10,[40|40|40|40|40],effn_w5_d320,777,val,0.8456838788138983,0.10988239181983465
10,[40|40|40|40|40],effn_w5_d320,777,test,0.8464693172448904,0.11026470077969479
