,dataset_params.dim,epochs,seed,set,MSE,MAPE
0,14,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0190770435749297,0.15116575205341293
1,14,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6652980780350393,0.10351349747744833
2,14,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0034595792687657,0.12327750885860941
3,14,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8559392028787716,0.0976537596870223
4,14,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.37761754096206934,0.06810872108002104
5,14,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8533600341918748,0.0978567785032029
6,14,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8055829508767516,0.0951603801601838
7,14,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.2183230160111694,0.05227785510366295
8,14,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8086415379684848,0.09547194201356328
9,14,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8133293679562623,0.09521505764227682
10,14,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.1613014451248217,0.04503193905903496
11,14,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8185367877976129,0.095804447347082
12,15,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0708506913999711,0.1346221013125503
13,15,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.657161065038697,0.10363171872924111
14,15,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0619978248339863,0.12867428694603503
15,15,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8997062457950636,0.09812605551705955
16,15,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.36000884403923356,0.06501140005247895
17,15,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8858368313002432,0.09761523450388634
18,15,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8785524078619213,0.09771654775367743
19,15,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.19057436836894173,0.04804545364620442
20,15,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.863945059722886,0.09723361370735965
21,15,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.8697218536239055,0.09620451834720212
22,15,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.14920153542404904,0.04294442632089451
23,15,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8714774553210953,0.09704315582008087
24,16,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1176157630658297,0.35690105773188274
25,16,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6782557278284403,0.09585034971036838
26,16,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0748458464258814,0.12177643435522077
27,16,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.9897555028275676,0.1008204394295981
28,16,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.39616187657505464,0.06716467466572124
29,16,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.9388409631211881,0.09900747816302231
30,16,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.9253959019937236,0.09827789996889068
31,16,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.20094790901919707,0.0483196507815334
32,16,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.8951528259614548,0.0972500824072059
33,16,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.9708977877712889,0.1002416381427039
34,16,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.13448153496940696,0.039893310001992525
35,16,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.9432645666940979,0.09882222358672459
36,17,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0881652392608765,0.13168993969685255
37,17,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6841670399011899,0.09391201133307137
38,17,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1314296783783369,0.12067696615298099
39,17,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.9799043426822569,0.09972607067643499
40,17,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.3840302371520124,0.0652079248024236
41,17,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.007261629814204,0.10090245599451872
42,17,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.980101556527541,0.09970146316559514
43,17,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.21507391290461889,0.04954775305076477
44,17,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.9862753262228263,0.09948086231834735
45,17,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,0.9591032674304463,0.09836031544890511
46,17,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.1342372913818716,0.03919640610644503
47,17,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,0.996359298345016,0.1000632537267934
48,18,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1352745990755508,0.13158816976728757
49,18,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6690800030371539,0.09876522953374371
50,18,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1612657189078428,0.12142819126515772
51,18,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0553561299757444,0.1017333116738625
52,18,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.40279246910233096,0.06617764668805391
53,18,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0597874562269265,0.10208733943940933
54,18,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0202614642785066,0.10079581358578449
55,18,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.15153790309539572,0.04126036402505073
56,18,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.030777223842043,0.10127001869750607
57,18,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.0373829066377176,0.100340316804695
58,18,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.12825391501292893,0.038173065680761974
59,18,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.0349966840542042,0.10029906228666476
60,19,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2510791870787905,0.12269549892220438
61,19,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.6751854699285386,0.08869750204134796
62,19,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1863723181798402,0.11734769495782775
63,19,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1200894976109939,0.1034222724357061
64,19,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.40113848919898387,0.06509229250764602
