dataset_params.dim,dataset_params.n_samples,epochs,model.hidden_dims,model,num_workers,seed,set,MSE,MAPE
1,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.0027691573485105715,0.025525802435546256
1,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.0028713372448145166,0.027488377545312
1,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.0024042328314864674,0.0261976364821871
2,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.04385828259425122,0.038837042079594
2,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.04946615896935502,0.03736645269141001
2,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.02300907892474314,0.0316388521543411
3,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.1347031871942116,0.05746502022715
3,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.12391148190571259,0.05647063514992
3,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.05476434338234175,0.04415182417843042
4,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.20629782860603446,0.061490875852931504
4,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.19885909279299857,0.061665978868701996
4,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.046913976297611175,0.03663388908596944
5,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.451502452856912,0.09774794015171887
5,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.40322159745222813,0.09190698213317
5,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.17849750534294073,0.063423210128338
6,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.47030406962420546,0.09427142458328999
6,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.44918421677616427,0.09150370795442998
6,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.14654109623011444,0.05586801666092
7,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.5612326246255586,0.0984899664396725
7,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.5376916572606131,0.093513937551168
7,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.14369900721890125,0.05234088157855614
8,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.5720400312292545,0.09516547979204501
8,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6137559409722313,0.09895004677662998
8,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.11335533017374308,0.044613230832613565
9,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.6280435991098428,0.094630028728605
9,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6452855196937789,0.095248913929513
9,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.08916792361159398,0.03792258581828905
10,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.6740335683853739,0.0962755906172355
10,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6853956964416081,0.09478404899199
10,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.07262930401719783,0.03249993933434993
11,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.8414261372475594,0.10317258959758999
11,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.7874383500875622,0.09936952715234
11,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.05366791481551945,0.028730750677046744
12,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.8057462752421394,0.09900492871337875
12,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.890524023186015,0.10420212821038001
12,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.032201042826993063,0.021306988558267757
13,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.9188059016834381,0.10191441370156
13,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.9035733029689736,0.103979723710397
13,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.03403557754376174,0.02122884701932043
14,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.9095208516260787,0.100634249035728
14,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.9320929581219103,0.10509631425428
14,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.018544343514347403,0.015177061439000288
15,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.9668788563691001,0.103039789106005
15,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.9793516173988296,0.10516869628754
15,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.013563932021729418,0.013020034203279258
16,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.9782308424984604,0.103042448090505
16,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,1.075664253517364,0.10437867249727001
16,10000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.011154295847631886,0.011365813100868857
