dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
23,[40|40|40],effn_w5_d320,777,val,2.310143920359591,0.15200024250777952
23,[40|40|40],effn_w5_d320,777,test,2.363135959420015,0.15401532409385468
23,[40|40|40],effn_w5_d320,777,train,2.0219976172236658,0.1417874592676178
22,[80|80|80|80|80],effn_w5_d320,777,val,1.6713007657452486,0.12700436407114377
22,[80|80|80|80|80],effn_w5_d320,777,test,1.6521102656854745,0.1269466011584359
22,[80|80|80|80|80],effn_w5_d320,777,train,0.8642866465039766,0.0922614652786463
23,[80|80|80|80|80],effn_w5_d320,777,val,1.6978027038550725,0.12680935095366613
23,[80|80|80|80|80],effn_w5_d320,777,test,1.6910333812275065,0.12592469666170847
23,[80|80|80|80|80],effn_w5_d320,777,train,0.8801222588582461,0.09233975782224985
24,[40|40|40],effn_w5_d320,777,val,2.6094102867229667,0.16145849462514217
24,[40|40|40],effn_w5_d320,777,test,2.6507655448111613,0.16258470473664657
24,[40|40|40],effn_w5_d320,777,train,2.4037255436976808,0.15397020406732798
23,[40|40|40|40],effn_w5_d320,777,val,2.2473490748438087,0.14938463078105618
23,[40|40|40|40],effn_w5_d320,777,test,2.2497906692562495,0.149197532238453
23,[40|40|40|40],effn_w5_d320,777,train,1.8655129264542263,0.13596812247662626
22,[80|80|80],effn_w5_d320,777,val,1.7175520973087528,0.12983788525106008
22,[80|80|80],effn_w5_d320,777,test,1.7765687471314966,0.1327195576202836
22,[80|80|80],effn_w5_d320,777,train,1.1264834164853543,0.10485901798176996
24,[40|40|40|40|40],effn_w5_d320,777,val,2.2685057938318574,0.14886335275070986
24,[40|40|40|40|40],effn_w5_d320,777,test,2.3350252890402,0.1513134109752737
24,[40|40|40|40|40],effn_w5_d320,777,train,1.8881990577828338,0.13523649581990038
18,[40|40|40|40|40],effn_w5_d320,777,val,1.8596827930103064,0.1450811214205414
18,[40|40|40|40|40],effn_w5_d320,777,test,1.8297169622407807,0.1440696863581702
18,[40|40|40|40|40],effn_w5_d320,777,train,1.4007967068990483,0.12591134178681962
19,[40|40|40],effn_w5_d320,777,val,2.156226448331608,0.15428653193433606
19,[40|40|40],effn_w5_d320,777,test,2.1948146990826913,0.156102504564023
19,[40|40|40],effn_w5_d320,777,train,1.8590191393454931,0.1426089525814363
15,[80|80|80|80|80],effn_w5_d320,777,val,1.112104765813643,0.1116592680599933
15,[80|80|80|80|80],effn_w5_d320,777,test,1.1031897438921607,0.11127906086337751
15,[80|80|80|80|80],effn_w5_d320,777,train,0.5790514500683549,0.08308515929100306
25,[80|80|80],effn_w5_d320,777,val,1.9450062867345368,0.13567270990382455
25,[80|80|80],effn_w5_d320,777,test,1.9785182545535092,0.1369048014094749
25,[80|80|80],effn_w5_d320,777,train,1.2287676426849556,0.10703922901387643
19,[40|40|40|40|40],effn_w5_d320,777,val,1.9927030411822082,0.1490620797118062
19,[40|40|40|40|40],effn_w5_d320,777,test,2.092864565725058,0.15291477835412431
19,[40|40|40|40|40],effn_w5_d320,777,train,1.6555212259476737,0.13562794176525778
23,[80|80|80|80],effn_w5_d320,777,val,1.7064518272349778,0.12769964136881723
23,[80|80|80|80],effn_w5_d320,777,test,1.699415807767299,0.1274404832373312
23,[80|80|80|80],effn_w5_d320,777,train,0.9158938620406928,0.09378945791081578
16,[40|40|40|40|40],effn_w5_d320,777,val,1.6295411305323089,0.13584537291617294
16,[40|40|40|40|40],effn_w5_d320,777,test,1.6583579274653264,0.1371068632442657
16,[40|40|40|40|40],effn_w5_d320,777,train,1.2513476796762866,0.11975894948776643
25,[80|80|80|80|80],effn_w5_d320,777,val,1.8290187806577534,0.1298773454734759
25,[80|80|80|80|80],effn_w5_d320,777,test,1.883371199886115,0.13146723523829593
25,[80|80|80|80|80],effn_w5_d320,777,train,0.9132580117395176,0.09245312069352005
19,[80|80|80],effn_w5_d320,777,val,1.5597813824193922,0.12841560063003485
19,[80|80|80],effn_w5_d320,777,test,1.585514545926925,0.1295397237225402
19,[80|80|80],effn_w5_d320,777,train,1.044551581154628,0.10467534078006052
21,[80|80|80|80],effn_w5_d320,777,val,1.5857113036471997,0.12438778126974921
21,[80|80|80|80],effn_w5_d320,777,test,1.561769733480499,0.1231405038045146
21,[80|80|80|80],effn_w5_d320,777,train,0.8289970936613493,0.09099771015553591
15,[80|80|80],effn_w5_d320,777,val,1.2171996530763005,0.11962235590845034
15,[80|80|80],effn_w5_d320,777,test,1.2295995376717928,0.12005567883366838
15,[80|80|80],effn_w5_d320,777,train,0.8011640159452087,0.09655330687297455
16,[80|80|80],effn_w5_d320,777,val,1.353303266502251,0.12368192321416377
16,[80|80|80],effn_w5_d320,777,test,1.4019223809646744,0.1253764013123362
16,[80|80|80],effn_w5_d320,777,train,0.9063720880083881,0.10135023726695153
20,[40|40|40|40|40],effn_w5_d320,777,val,2.0876338205976954,0.1498204267636313
20,[40|40|40|40|40],effn_w5_d320,777,test,2.0831507937677016,0.14951464779033052
20,[40|40|40|40|40],effn_w5_d320,777,train,1.6550119434921453,0.1335416235303867
25,[80|80|80|80],effn_w5_d320,777,val,1.8383114845972905,0.1292631440805638
25,[80|80|80|80],effn_w5_d320,777,test,1.9010661788202066,0.13141852651114624
25,[80|80|80|80],effn_w5_d320,777,train,0.9624023726218967,0.0942114327786192
25,[40|40|40],effn_w5_d320,777,val,2.4007628755646993,0.15118852653722548
25,[40|40|40],effn_w5_d320,777,test,2.4732280251775633,0.15361890155063662
25,[40|40|40],effn_w5_d320,777,train,2.086323550101255,0.14080248536569898
14,[80|80|80|80|80],effn_w5_d320,777,val,1.0514678980892045,0.10951681014588467
14,[80|80|80|80|80],effn_w5_d320,777,test,1.049185823067443,0.1086450754302104
14,[80|80|80|80|80],effn_w5_d320,777,train,0.5700886762600557,0.08391286645342716
16,[40|40|40|40],effn_w5_d320,777,val,1.5178584578800227,0.1329006425686812
16,[40|40|40|40],effn_w5_d320,777,test,1.6009329623580262,0.13505602299714925
16,[40|40|40|40],effn_w5_d320,777,train,1.1544992268417404,0.11548124265456028
14,[40|40|40],effn_w5_d320,777,val,1.4055045344528418,0.13156843597838372
14,[40|40|40],effn_w5_d320,777,test,1.422237969023351,0.13242612570850787
14,[40|40|40],effn_w5_d320,777,train,1.0983222098718717,0.11661434795863905
17,[40|40|40|40],effn_w5_d320,777,val,1.6205051656009852,0.13576040575837162
