,dataset_params.dim,dataset_params.eps,seed,set,MSE,MAPE
0,2,"0.0001,dataset_params.transform_dim",777,val,0.1759173700792782,0.05012063763279271
1,2,"0.0001,dataset_params.transform_dim",777,test,0.183258686499342,0.0493269406174092
2,2,"0.0001,dataset_params.transform_dim",777,train,0.16046740767118742,0.048694871757064315
3,2,"1e-05,dataset_params.transform_dim",777,val,0.07556475052700816,0.025630000699246206
4,2,"1e-05,dataset_params.transform_dim",777,test,0.09320942882029534,0.02588730155470223
5,2,"1e-05,dataset_params.transform_dim",777,train,0.06559525366113239,0.024484891223964595
6,2,"1e-05,dataset_params.transform_dim",777,val,0.2087466370142296,0.03965548507578173
7,2,"1e-05,dataset_params.transform_dim",777,test,0.21548585069079754,0.03928697244176955
8,2,"1e-05,dataset_params.transform_dim",777,train,0.18654453139815785,0.03774108843260343
9,2,"1e-06,dataset_params.transform_dim",777,val,0.05940806419517908,0.029428332118864073
10,2,"1e-06,dataset_params.transform_dim",777,test,0.07943692226956152,0.029714437417241443
11,2,"1e-06,dataset_params.transform_dim",777,train,0.054446149192028594,0.028750884814858966
12,2,"1e-06,dataset_params.transform_dim",777,val,0.08376484774943777,0.026885325454522865
13,2,"1e-06,dataset_params.transform_dim",777,test,0.10475936062731506,0.02688546518706465
14,2,"1e-06,dataset_params.transform_dim",777,train,0.07352228309914612,0.025621767181201068
15,2,"1e-06,dataset_params.transform_dim",777,val,0.3751338113644421,0.06227831874106907
16,2,"1e-06,dataset_params.transform_dim",777,test,0.37804863913667175,0.061505511815579596
17,2,"1e-06,dataset_params.transform_dim",777,train,0.35810962470865054,0.060983540298978046
18,2,"0.0001,dataset_params.transform_dim",777,val,0.054061954821099746,0.028102160724560853
19,2,"0.0001,dataset_params.transform_dim",777,test,0.06875666997193382,0.028321268905294007
20,2,"0.0001,dataset_params.transform_dim",777,train,0.04844752126993638,0.02736104215037481
21,2,"0.0001,dataset_params.transform_dim",777,val,0.3981284025595959,0.06582081054703533
22,2,"0.0001,dataset_params.transform_dim",777,test,0.3933613379926184,0.06449008575534045
23,2,"0.0001,dataset_params.transform_dim",777,train,0.3774404247384055,0.06452638578721567
24,2,"1e-05,dataset_params.transform_dim",777,val,0.05894685629802747,0.028691888580825293
25,2,"1e-05,dataset_params.transform_dim",777,test,0.07692227839769736,0.029056677954419297
26,2,"1e-05,dataset_params.transform_dim",777,train,0.05336832274558081,0.027924762458429554
